date_created,date_updated,user_id,prolific_pid,study_id,wordle_play_frequency,native_english,primed_emotion,has_enhanced_feedback,presurvey_time,baseballcost,lakedays,postsurvey_time,widgettime,did_start_bonus_rounds,end_arousal,end_valence,session_id_x,minutes,crt1,crt2,crt3,crt,control,anger,empathy,anger_empathy,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,t_anger,t_empathy,guesses,guess_count,round_index,solution,did_win,was_bonus_round,remote_timestamp,server_time,guess_count_adj,female,anger_crt,empathy_crt,anger_empathy_crt,wordle_0,anger_exp,empathy_exp,anger_empathy_exp,anger_fem,empathy_fem,anger_empathy_fem
2022-04-06 13:37:53.906754,2022-04-06 13:50:19.089048,5a8418e-744c-fe08-77a-a75f2f8edcdd,-5138889630329335189,624b5bec1dd9f0f7e32455cb,11-100,1,control,1,2022-04-06 13:37:53.905061,0.05,47.0,2022-04-06 13:50:19.088876,100.0,0,21.0,61.0,624d9655c9ef2a8d5e0a9b97,12.416666666666666,1,0,1,2,0,0,1,0,APPROVED,2022-04-06 13:32:09.154000,2022-04-06 13:50:26.504000,1097.35,41.0,381,0,100,2022-04-06 15:01:57.126000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""RUSTY"", ""PLANE"", ""PLANT""]",3,0,PLANT,1,0,2022-04-06 13:38:28.800,2022-04-06 13:38:29.745433,3,1,0,2,0,0,0,0,0,0,1,0
2022-04-06 13:37:53.906754,2022-04-06 13:50:19.089048,5a8418e-744c-fe08-77a-a75f2f8edcdd,-5138889630329335189,624b5bec1dd9f0f7e32455cb,11-100,1,control,1,2022-04-06 13:37:53.905061,0.05,47.0,2022-04-06 13:50:19.088876,100.0,0,21.0,61.0,624d9655c9ef2a8d5e0a9b97,12.416666666666666,1,0,1,2,0,0,1,0,APPROVED,2022-04-06 13:32:09.154000,2022-04-06 13:50:26.504000,1097.35,41.0,381,0,100,2022-04-06 15:01:57.126000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""PLANT"", ""MOULD"", ""RISKY"", ""CUBBY"", ""FUZZY""]",5,1,FUZZY,1,0,2022-04-06 13:40:20.532,2022-04-06 13:40:21.515177,5,1,0,2,0,0,0,0,0,0,1,0
2022-04-06 13:37:53.906754,2022-04-06 13:50:19.089048,5a8418e-744c-fe08-77a-a75f2f8edcdd,-5138889630329335189,624b5bec1dd9f0f7e32455cb,11-100,1,control,1,2022-04-06 13:37:53.905061,0.05,47.0,2022-04-06 13:50:19.088876,100.0,0,21.0,61.0,624d9655c9ef2a8d5e0a9b97,12.416666666666666,1,0,1,2,0,0,1,0,APPROVED,2022-04-06 13:32:09.154000,2022-04-06 13:50:26.504000,1097.35,41.0,381,0,100,2022-04-06 15:01:57.126000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""RUSTY"", ""LEARN"", ""MINER"", ""DINER""]",4,2,DINER,1,0,2022-04-06 13:43:00.993,2022-04-06 13:43:01.966478,4,1,0,2,0,0,0,0,0,0,1,0
2022-04-06 13:37:53.906754,2022-04-06 13:50:19.089048,5a8418e-744c-fe08-77a-a75f2f8edcdd,-5138889630329335189,624b5bec1dd9f0f7e32455cb,11-100,1,control,1,2022-04-06 13:37:53.905061,0.05,47.0,2022-04-06 13:50:19.088876,100.0,0,21.0,61.0,624d9655c9ef2a8d5e0a9b97,12.416666666666666,1,0,1,2,0,0,1,0,APPROVED,2022-04-06 13:32:09.154000,2022-04-06 13:50:26.504000,1097.35,41.0,381,0,100,2022-04-06 15:01:57.126000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""RUSTY"", ""PLANE"", ""EVADE"", ""CHAFE"", ""AWAKE"", ""IMAGE""]",6,3,IMAGE,1,0,2022-04-06 13:48:31.092,2022-04-06 13:48:32.052765,6,1,0,2,0,0,0,0,0,0,1,0
2022-04-06 13:44:57.494483,2022-04-06 14:05:57.977607,f7f5742-460-17d8-2244-6e811eaa3d17,-6102100099043620338,624b5bec1dd9f0f7e32455cb,0,1,control,0,2022-04-06 13:44:57.493240,0.05,47.0,2022-04-06 14:05:57.977475,5.0,0,30.0,26.0,624d9886f92501bf32d6a5c2,21.0,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:41:30.056000,2022-04-06 14:06:06.465000,1476.409,22.0,520,0,100,2022-04-06 15:01:56.347000,42B25E2B,United States,United States,English,United States,Female,0,0,"[""STEAK"", ""TRAIT"", ""GRANT"", ""PLANT""]",4,0,PLANT,1,0,2022-04-06 13:46:40.506,2022-04-06 13:46:40.668147,4,1,0,0,0,1,0,0,0,0,0,0
2022-04-06 13:44:57.494483,2022-04-06 14:05:57.977607,f7f5742-460-17d8-2244-6e811eaa3d17,-6102100099043620338,624b5bec1dd9f0f7e32455cb,0,1,control,0,2022-04-06 13:44:57.493240,0.05,47.0,2022-04-06 14:05:57.977475,5.0,0,30.0,26.0,624d9886f92501bf32d6a5c2,21.0,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:41:30.056000,2022-04-06 14:06:06.465000,1476.409,22.0,520,0,100,2022-04-06 15:01:56.347000,42B25E2B,United States,United States,English,United States,Female,0,0,"[""LEADS"", ""TRECK"", ""PONDS"", ""GUMMY"", ""HUFFY"", ""FUZZY""]",6,1,FUZZY,1,0,2022-04-06 13:51:14.074,2022-04-06 13:51:14.134655,6,1,0,0,0,1,0,0,0,0,0,0
2022-04-06 13:44:57.494483,2022-04-06 14:05:57.977607,f7f5742-460-17d8-2244-6e811eaa3d17,-6102100099043620338,624b5bec1dd9f0f7e32455cb,0,1,control,0,2022-04-06 13:44:57.493240,0.05,47.0,2022-04-06 14:05:57.977475,5.0,0,30.0,26.0,624d9886f92501bf32d6a5c2,21.0,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:41:30.056000,2022-04-06 14:06:06.465000,1476.409,22.0,520,0,100,2022-04-06 15:01:56.347000,42B25E2B,United States,United States,English,United States,Female,0,0,"[""NOTES"", ""HATER"", ""GONER"", ""DINER""]",4,2,DINER,1,0,2022-04-06 13:55:37.894,2022-04-06 13:55:37.962537,4,1,0,0,0,1,0,0,0,0,0,0
2022-04-06 13:44:57.494483,2022-04-06 14:05:57.977607,f7f5742-460-17d8-2244-6e811eaa3d17,-6102100099043620338,624b5bec1dd9f0f7e32455cb,0,1,control,0,2022-04-06 13:44:57.493240,0.05,47.0,2022-04-06 14:05:57.977475,5.0,0,30.0,26.0,624d9886f92501bf32d6a5c2,21.0,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:41:30.056000,2022-04-06 14:06:06.465000,1476.409,22.0,520,0,100,2022-04-06 15:01:56.347000,42B25E2B,United States,United States,English,United States,Female,0,0,"[""BLACK"", ""TRACE"", ""PLANE"", ""GLADE"", ""PHAGE"", ""IMAGE""]",6,3,IMAGE,1,0,2022-04-06 14:05:32.199,2022-04-06 14:05:32.367347,6,1,0,0,0,1,0,0,0,0,0,0
2022-04-06 13:45:49.871791,2022-04-06 13:57:49.432129,472d322-d63f-5a08-25e8-f7d2cac1d827,-4677404749458226688,624b5bec1dd9f0f7e32455cb,101+,1,control,1,2022-04-06 13:45:49.870422,0.1,24.0,2022-04-06 13:57:49.432001,100.0,0,79.0,80.0,624d98b335a8f16619dd679f,11.983333333333333,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 13:42:14.409000,2022-04-06 13:57:54.848000,940.439,27.0,283,1,100,2022-04-06 15:01:54.872000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""IRATE"", ""TEAMS"", ""PLANT""]",3,0,PLANT,1,0,2022-04-06 13:47:21.370,2022-04-06 13:47:21.521621,3,1,0,0,0,0,0,0,0,0,1,0
2022-04-06 13:45:49.871791,2022-04-06 13:57:49.432129,472d322-d63f-5a08-25e8-f7d2cac1d827,-4677404749458226688,624b5bec1dd9f0f7e32455cb,101+,1,control,1,2022-04-06 13:45:49.870422,0.1,24.0,2022-04-06 13:57:49.432001,100.0,0,79.0,80.0,624d98b335a8f16619dd679f,11.983333333333333,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 13:42:14.409000,2022-04-06 13:57:54.848000,940.439,27.0,283,1,100,2022-04-06 15:01:54.872000,42B25E2B,United States,United States,English,United States,Female,0,1,"[""TEARS"", ""AUDIO"", ""PLUMS"", ""BUNNY"", ""HUGGY"", ""YUCKY""]",6,1,FUZZY,0,0,2022-04-06 13:51:16.874,2022-04-06 13:51:17.001483,7,1,0,0,0,0,0,0,0,0,1,0
